NAME,DATA TIMESTAMP,RAINFALL DAY MM
Cemerlang,2025-01-10 00:00:00.0 +0:00,1.5
Cemerlang,2025-01-11 00:00:00.0 +0:00,0
Cemerlang,2025-01-12 00:00:00.0 +0:00,0
Cemerlang,2025-01-13 00:00:00.0 +0:00,0
Cemerlang,2025-01-14 00:00:00.0 +0:00,37.5
Cemerlang,2025-01-15 00:00:00.0 +0:00,1
Cemerlang,2025-01-16 00:00:00.0 +0:00,2.5
Cemerlang,2025-01-17 00:00:00.0 +0:00,0
Cemerlang,2025-01-18 00:00:00.0 +0:00,0
Cemerlang,2025-01-19 00:00:00.0 +0:00,2.5
Cemerlang,2025-01-20 00:00:00.0 +0:00,0
Cemerlang,2025-01-21 00:00:00.0 +0:00,2
Cemerlang,2025-01-22 00:00:00.0 +0:00,43
Cemerlang,2025-01-23 00:00:00.0 +0:00,2.5
Cemerlang,2025-01-24 00:00:00.0 +0:00,0
Cemerlang,2025-01-25 00:00:00.0 +0:00,21.5
Cemerlang,2025-01-26 00:00:00.0 +0:00,2
Cemerlang,2025-01-27 00:00:00.0 +0:00,1
Cemerlang,2025-01-28 00:00:00.0 +0:00,10
Cemerlang,2025-01-29 00:00:00.0 +0:00,0
Cemerlang,2025-01-30 00:00:00.0 +0:00,64
Cemerlang,2025-01-31 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-01 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-02 00:00:00.0 +0:00,3.3
Luwuk Timur,2025-01-03 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-04 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-05 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-06 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-07 00:00:00.0 +0:00,8888
Luwuk Timur,2025-01-08 00:00:00.0 +0:00,3.5
Luwuk Timur,2025-01-09 00:00:00.0 +0:00,5.9
Luwuk Timur,2025-01-10 00:00:00.0 +0:00,4.2
Luwuk Timur,2025-01-11 00:00:00.0 +0:00,8888
Luwuk Timur,2025-01-12 00:00:00.0 +0:00,4.2
Luwuk Timur,2025-01-13 00:00:00.0 +0:00,3.9
Luwuk Timur,2025-01-14 00:00:00.0 +0:00,5.4
Luwuk Timur,2025-01-15 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-16 00:00:00.0 +0:00,2.1
Luwuk Timur,2025-01-17 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-18 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-19 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-20 00:00:00.0 +0:00,1.9
Luwuk Timur,2025-01-21 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-22 00:00:00.0 +0:00,22.5
Luwuk Timur,2025-01-23 00:00:00.0 +0:00,4.9
Luwuk Timur,2025-01-24 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-25 00:00:00.0 +0:00,3.7
Luwuk Timur,2025-01-26 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-27 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-28 00:00:00.0 +0:00,0
Luwuk Timur,2025-01-29 00:00:00.0 +0:00,12.5
Luwuk Timur,2025-01-30 00:00:00.0 +0:00,50
Luwuk Timur,2025-01-31 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-01 00:00:00.0 +0:00,18.5
Pandan Wangi,2025-01-02 00:00:00.0 +0:00,1
Pandan Wangi,2025-01-03 00:00:00.0 +0:00,8888
Pandan Wangi,2025-01-04 00:00:00.0 +0:00,38
Pandan Wangi,2025-01-05 00:00:00.0 +0:00,12.5
Pandan Wangi,2025-01-06 00:00:00.0 +0:00,8888
Pandan Wangi,2025-01-07 00:00:00.0 +0:00,8888
Pandan Wangi,2025-01-08 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-09 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-10 00:00:00.0 +0:00,4
Pandan Wangi,2025-01-11 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-12 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-13 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-14 00:00:00.0 +0:00,12
Pandan Wangi,2025-01-15 00:00:00.0 +0:00,8888
Pandan Wangi,2025-01-16 00:00:00.0 +0:00,2
Pandan Wangi,2025-01-17 00:00:00.0 +0:00,11
Pandan Wangi,2025-01-18 00:00:00.0 +0:00,1
Pandan Wangi,2025-01-19 00:00:00.0 +0:00,17.5
Pandan Wangi,2025-01-20 00:00:00.0 +0:00,1.5
Pandan Wangi,2025-01-21 00:00:00.0 +0:00,2
Pandan Wangi,2025-01-22 00:00:00.0 +0:00,10.5
Pandan Wangi,2025-01-23 00:00:00.0 +0:00,.5
Pandan Wangi,2025-01-24 00:00:00.0 +0:00,47
Pandan Wangi,2025-01-25 00:00:00.0 +0:00,7.5
Pandan Wangi,2025-01-26 00:00:00.0 +0:00,8888
Pandan Wangi,2025-01-27 00:00:00.0 +0:00,.5
Pandan Wangi,2025-01-28 00:00:00.0 +0:00,4
Pandan Wangi,2025-01-29 00:00:00.0 +0:00,0
Pandan Wangi,2025-01-30 00:00:00.0 +0:00,4.6
Pandan Wangi,2025-01-31 00:00:00.0 +0:00,0
Nuhon,2025-01-01 00:00:00.0 +0:00,5
Nuhon,2025-01-02 00:00:00.0 +0:00,3
Nuhon,2025-01-03 00:00:00.0 +0:00,0
Nuhon,2025-01-04 00:00:00.0 +0:00,0
Nuhon,2025-01-05 00:00:00.0 +0:00,0
Nuhon,2025-01-06 00:00:00.0 +0:00,0
Nuhon,2025-01-07 00:00:00.0 +0:00,0
Nuhon,2025-01-08 00:00:00.0 +0:00,0
Nuhon,2025-01-09 00:00:00.0 +0:00,5
Nuhon,2025-01-10 00:00:00.0 +0:00,17
Nuhon,2025-01-11 00:00:00.0 +0:00,0
Nuhon,2025-01-12 00:00:00.0 +0:00,8
Nuhon,2025-01-13 00:00:00.0 +0:00,0
Nuhon,2025-01-14 00:00:00.0 +0:00,6
Nuhon,2025-01-15 00:00:00.0 +0:00,5
Nuhon,2025-01-16 00:00:00.0 +0:00,0
Nuhon,2025-01-17 00:00:00.0 +0:00,0
Nuhon,2025-01-18 00:00:00.0 +0:00,0
Nuhon,2025-01-19 00:00:00.0 +0:00,0
Nuhon,2025-01-20 00:00:00.0 +0:00,0
Nuhon,2025-01-21 00:00:00.0 +0:00,0
Nuhon,2025-01-22 00:00:00.0 +0:00,4
Nuhon,2025-01-23 00:00:00.0 +0:00,0
Nuhon,2025-01-24 00:00:00.0 +0:00,8
Nuhon,2025-01-25 00:00:00.0 +0:00,0
Nuhon,2025-01-26 00:00:00.0 +0:00,0
Nuhon,2025-01-27 00:00:00.0 +0:00,5
